,datetime,amount,BANKNIFTY,NIFTY
212,2006-11-08,991960.6,1577.5500000000002,646.5
213,2006-11-09,991960.6,1679.1499999999996,665.5999999999999
214,2006-11-10,991960.6,1722.5500000000002,703.9499999999998
215,2006-11-13,991960.6,1760.0,727.9499999999998
216,2006-11-14,991960.6,1944.75,735.0999999999999
217,2006-11-15,991960.6,2096.25,745.5
218,2006-11-16,991960.6,2040.8499999999995,746.0499999999997
219,2006-11-17,991960.6,1927.8000000000002,722.0
220,2006-11-20,991960.6,2006.6999999999998,725.3499999999999
221,2006-11-21,991960.6,2040.0999999999995,787.4499999999998
222,2006-11-22,991960.6,2078.3,823.9499999999998
223,2006-11-23,991960.6,2074.8,814.6499999999996
224,2006-11-24,991960.6,2119.55,820.0499999999997
225,2006-11-27,991960.6,2044.0999999999995,838.0999999999999
226,2006-11-28,991960.6,2048.8499999999995,790.9499999999998
227,2006-11-29,991960.6,2119.5,797.3999999999996
228,2006-11-30,991960.6,2251.95,823.6999999999998
229,2006-12-01,991960.6,2215.3,866.7999999999997
230,2006-12-04,991960.6,2156.3499999999995,870.1999999999998
231,2006-12-05,991960.6,2135.05,884.9499999999998
232,2006-12-06,991960.6,2180.7,885.1499999999996
233,2006-12-07,991960.6,2155.75,884.5499999999997
234,2006-12-08,991960.6,1711.8000000000002,831.1999999999998
235,2006-12-11,991960.6,1457.5,718.6999999999998
236,2006-12-12,991960.6,1641.5500000000002,586.0999999999999
237,2006-12-13,991960.6,1770.9499999999998,634.3999999999996
238,2006-12-14,991960.6,1879.3999999999996,712.25
239,2006-12-15,991960.6,1933.25,757.8499999999999
240,2006-12-18,991960.6,1788.6499999999996,797.9499999999998
241,2006-12-19,991960.6,1718.3999999999996,701.1999999999998
242,2006-12-20,991960.6,1699.0999999999995,684.75
243,2006-12-21,991960.6,1711.5999999999995,702.6999999999998
244,2006-12-22,991960.6,1825.3499999999995,740.3499999999999
245,2006-12-26,991960.6,1930.8000000000002,809.6999999999998
246,2006-12-27,991960.6,1949.0,843.4499999999998
247,2006-12-28,991960.6,1929.9499999999998,839.75
248,2006-12-29,1001966.55,,
249,2007-01-02,1001966.55,,
250,2007-01-03,1001966.55,,
251,2007-01-04,1001966.55,,
252,2007-01-05,1001966.55,,
253,2007-01-08,1001966.55,,
254,2007-01-09,1001966.55,,
255,2007-01-10,1001966.55,,
256,2007-01-11,1001966.55,,
257,2007-01-12,1001966.55,,
258,2007-01-15,1001966.55,,
259,2007-01-16,1001966.55,,
260,2007-01-17,1001966.55,,
261,2007-01-18,1001966.55,,
262,2007-01-19,1001966.55,,
263,2007-01-22,991853.3,0.0,0.0
264,2007-01-23,991853.3,44.69999999999982,-36.34999999999991
265,2007-01-24,991853.3,96.80000000000018,-12.549999999999727
266,2007-01-25,991853.3,-31.900000000000546,45.25
267,2007-01-29,991853.3,-56.850000000000364,22.0
268,2007-01-31,991853.3,104.39999999999964,-19.75
269,2007-02-01,991853.3,64.55000000000018,34.75
270,2007-02-02,991853.3,78.39999999999964,81.05000000000018
271,2007-02-05,991853.3,81.39999999999964,112.90000000000055
272,2007-02-06,991853.3,146.34999999999945,93.44000000000051
273,2007-02-07,991853.3,197.89999999999964,121.80000000000018
274,2007-02-08,991853.3,173.64999999999964,120.94000000000051
275,2007-02-09,991853.3,20.849999999999454,84.94000000000051
276,2007-02-12,991853.3,-64.35000000000036,-44.149999999999636
277,2007-02-13,991853.3,-338.25,-57.899999999999636
278,2007-02-14,991853.3,-169.15000000000055,-55.34999999999991
279,2007-02-15,991853.3,-93.35000000000036,43.75
280,2007-02-19,991853.3,-169.55000000000018,62.100000000000364
281,2007-02-20,991853.3,-193.85000000000036,4.5
282,2007-02-21,1001597.15,,
283,2007-02-22,1001597.15,,
284,2007-02-23,1001597.15,,
285,2007-02-26,1001597.15,,
286,2007-02-27,1001597.15,,
287,2007-02-28,1001597.15,,
288,2007-03-01,1001597.15,,
289,2007-03-02,1001597.15,,
290,2007-03-05,1001597.15,,
291,2007-03-06,1001597.15,,
292,2007-03-07,1001597.15,,
293,2007-03-08,1001597.15,,
294,2007-03-09,1001597.15,,
295,2007-03-12,1001597.15,,
296,2007-03-13,1001597.15,,
297,2007-03-14,1001597.15,,
298,2007-03-15,1001597.15,,
299,2007-03-16,1001597.15,,
300,2007-03-19,1001597.15,,
301,2007-03-20,1001597.15,,
302,2007-03-21,1001597.15,,
303,2007-03-22,1001597.15,,
304,2007-03-23,1001597.15,,
305,2007-03-26,1001597.15,,
306,2007-03-28,1001597.15,,
307,2007-03-29,1001597.15,,
308,2007-03-30,1001597.15,,
309,2007-04-02,1001597.15,,
310,2007-04-03,1001597.15,,
311,2007-04-04,1001597.15,,
312,2007-04-05,1001597.15,,
313,2007-04-09,1001597.15,,
314,2007-04-10,1001597.15,,
315,2007-04-11,1001597.15,,
316,2007-04-12,1001597.15,,
317,2007-04-13,1001597.15,,
318,2007-04-16,1001597.15,,
319,2007-04-17,1001597.15,,
320,2007-04-18,992045.25,0.0,0.0
321,2007-04-19,992045.25,57.25,-13.949999999999818
322,2007-04-20,992045.25,9.849999999999454,71.95000000000027
323,2007-04-23,992045.25,267.1999999999998,73.5
324,2007-04-24,992045.25,336.14999999999964,130.20000000000027
325,2007-04-25,992045.25,340.64999999999964,155.70000000000027
326,2007-04-26,992045.25,212.59999999999945,166.25000000000045
327,2007-04-27,992045.25,80.69999999999982,71.90000000000009
328,2007-04-30,992045.25,153.09999999999945,76.30000000000018
329,2007-05-03,992045.25,116.25,139.25000000000045
330,2007-05-04,992045.25,70.39999999999964,105.75000000000045
331,2007-05-07,992045.25,-3.300000000000182,99.54000000000042
332,2007-05-08,992045.25,98.25,65.40000000000009
333,2007-05-09,992045.25,104.64999999999964,67.70000000000027
334,2007-05-10,992045.25,142.14999999999964,55.20000000000027
335,2007-05-11,992045.25,307.5,65.05000000000018
336,2007-05-14,992045.25,410.34999999999945,122.70000000000027
337,2007-05-15,992045.25,597.5500000000002,108.70000000000027
338,2007-05-16,992045.25,730.5999999999995,159.3499999999999
339,2007-05-17,992045.25,750.5,207.95000000000027
340,2007-05-18,992045.25,850.8499999999995,202.9000000000001
341,2007-05-21,992045.25,816.0999999999995,249.29000000000042
342,2007-05-22,992045.25,768.8499999999995,266.50000000000045
343,2007-05-23,992045.25,668.3999999999996,234.5999999999999
344,2007-05-24,992045.25,660.0500000000002,193.29000000000042
345,2007-05-25,992045.25,743.6499999999996,236.54000000000042
346,2007-05-28,992045.25,761.8000000000002,244.95000000000027
347,2007-05-29,992045.25,705.1499999999996,281.6500000000001
348,2007-05-30,992045.25,784.1999999999998,238.04000000000042
349,2007-05-31,992045.25,864.5,284.2000000000003
350,2007-06-01,992045.25,908.5500000000002,285.4500000000003
351,2007-06-04,992045.25,993.0500000000002,255.45000000000027
352,2007-06-05,992045.25,784.0,273.0400000000004
353,2007-06-06,992045.25,696.1499999999996,186.6500000000001
354,2007-06-07,992045.25,637.3999999999996,167.9000000000001
355,2007-06-08,992045.25,620.9499999999998,133.4000000000001
356,2007-06-11,992045.25,609.6499999999996,134.00000000000045
357,2007-06-12,992045.25,523.5,143.5999999999999
358,2007-06-13,992045.25,581.75,101.45000000000027
359,2007-06-14,992045.25,635.8999999999996,158.4000000000001
360,2007-06-15,992045.25,634.0999999999995,159.8499999999999
361,2007-06-18,992045.25,826.6499999999996,135.50000000000045
362,2007-06-19,992045.25,956.5500000000002,202.70000000000027
363,2007-06-20,992045.25,995.9499999999998,237.04000000000042
364,2007-06-21,992045.25,1001.75,255.79000000000042
365,2007-06-22,992045.25,1004.25,240.45000000000027
366,2007-06-25,992045.25,975.3000000000002,247.79000000000042
367,2007-06-26,992045.25,942.1499999999996,274.0999999999999
368,2007-06-27,992045.25,981.0500000000002,252.3499999999999
369,2007-06-28,992045.25,1199.8000000000002,270.4000000000001
370,2007-06-29,992045.25,1177.6999999999998,306.7000000000003
371,2007-07-02,992045.25,1316.8000000000002,302.1500000000001
372,2007-07-03,992045.25,1296.1499999999996,345.9500000000003
373,2007-07-04,992045.25,1278.0500000000002,347.7000000000003
374,2007-07-05,992045.25,1250.9499999999998,342.3499999999999
375,2007-07-06,992045.25,1327.5999999999995,373.25000000000045
376,2007-07-09,992045.25,1274.3999999999996,407.7900000000004
377,2007-07-10,992045.25,1254.3999999999996,394.4500000000003
378,2007-07-11,992045.25,1375.75,375.5400000000004
379,2007-07-12,992045.25,1440.0500000000002,434.5400000000004
380,2007-07-13,992045.25,1561.0,492.9500000000003
381,2007-07-16,992045.25,1501.4499999999998,500.5400000000004
382,2007-07-17,992045.25,1528.5,485.1500000000001
383,2007-07-18,992045.25,1597.5999999999995,487.9500000000003
384,2007-07-19,992045.25,1546.25,550.5000000000005
385,2007-07-20,992045.25,1536.0,554.4500000000003
386,2007-07-23,992045.25,1535.3000000000002,607.7500000000005
387,2007-07-24,992045.25,1463.1499999999996,609.1500000000001
388,2007-07-25,992045.25,1393.0,577.0999999999999
389,2007-07-26,992045.25,1158.3499999999995,608.2000000000003
390,2007-07-27,992045.25,1289.5,433.5999999999999
391,2007-07-30,992045.25,1388.1499999999996,428.4500000000003
392,2007-07-31,992045.25,1097.0500000000002,517.2500000000005
393,2007-08-01,992045.25,1218.8499999999995,334.25000000000045
394,2007-08-02,992045.25,1314.3000000000002,344.75000000000045
395,2007-08-03,992045.25,1281.5500000000002,389.9500000000003
396,2007-08-06,992045.25,1283.1499999999996,327.9000000000001
397,2007-08-07,992045.25,1426.5,344.75000000000045
398,2007-08-08,992045.25,1296.8999999999996,450.50000000000045
399,2007-08-09,992045.25,1105.75,391.5999999999999
400,2007-08-10,992045.25,1139.4499999999998,321.75000000000045
401,2007-08-13,992045.25,1162.0500000000002,362.0400000000004
402,2007-08-14,992045.25,765.4499999999998,358.5999999999999
403,2007-08-16,1002469.45,,
404,2007-08-17,1002469.45,,
405,2007-08-20,1002469.45,,
406,2007-08-21,1002469.45,,
407,2007-08-22,1002469.45,,
408,2007-08-23,1002469.45,,
409,2007-08-24,1002469.45,,
410,2007-08-27,1002469.45,,
411,2007-08-28,1002469.45,,
412,2007-08-29,1002469.45,,
413,2007-08-30,1002469.45,,
414,2007-08-31,1002469.45,,
415,2007-09-03,1002469.45,,
416,2007-09-04,1002469.45,,
417,2007-09-05,1002469.45,,
418,2007-09-06,1002469.45,,
419,2007-09-07,1002469.45,,
420,2007-09-10,1002469.45,,
421,2007-09-11,1002469.45,,
422,2007-09-12,1002469.45,,
423,2007-09-13,1002469.45,,
424,2007-09-14,1002469.45,,
425,2007-09-17,1002469.45,,
426,2007-09-18,990521.4,0.0,0.0
427,2007-09-19,990521.4,-11.700000000000728,186.15000000000055
428,2007-09-20,990521.4,62.649999999999636,201.35000000000036
429,2007-09-21,990521.4,249.04999999999927,291.35000000000036
430,2007-09-24,990521.4,227.29999999999927,386.0
431,2007-09-25,990521.4,354.0499999999993,392.65000000000055
432,2007-09-26,990521.4,431.7999999999993,394.3000000000002
433,2007-09-27,990521.4,640.3499999999995,454.35000000000036
434,2007-09-28,990521.4,585.6499999999996,475.15000000000055
435,2007-10-01,990521.4,696.0499999999993,522.75
436,2007-10-03,990521.4,634.0499999999993,664.6000000000004
437,2007-10-04,990521.4,443.39999999999964,662.4400000000005
438,2007-10-05,990521.4,224.54999999999927,639.6500000000005
439,2007-10-08,990521.4,494.0,538.9000000000005
440,2007-10-09,990521.4,628.7999999999993,781.0500000000002
441,2007-10-10,990521.4,756.9499999999998,895.25
442,2007-10-11,990521.4,532.1499999999996,978.6500000000005
443,2007-10-12,990521.4,884.4400000000005,882.0500000000002
444,2007-10-15,990521.4,1050.3500000000004,1124.1999999999998
445,2007-10-16,990521.4,698.0499999999993,1121.8500000000004
446,2007-10-17,990521.4,206.89999999999964,1013.1000000000004
447,2007-10-18,990521.4,21.949999999999818,804.8000000000002
448,2007-10-19,990521.4,166.14999999999964,669.1000000000004
449,2007-10-22,990521.4,699.25,637.8000000000002
450,2007-10-23,990521.4,826.7999999999993,927.5
451,2007-10-24,990521.4,1026.7999999999993,949.9499999999998
452,2007-10-25,990521.4,1348.0499999999993,1022.75
453,2007-10-26,990521.4,1598.8999999999996,1156.1000000000004
454,2007-10-29,990521.4,1532.2999999999993,1359.6999999999998
455,2007-10-30,990521.4,1611.2999999999993,1322.5500000000002
456,2007-10-31,990521.4,1796.75,1354.4499999999998
457,2007-11-01,990521.4,2158.8500000000004,1320.25
458,2007-11-02,990521.4,1995.6900000000005,1386.1999999999998
459,2007-11-05,990521.4,1814.4400000000005,1301.1000000000004
460,2007-11-06,990521.4,1688.3500000000004,1240.3000000000002
461,2007-11-07,990521.4,1474.3999999999996,1236.1500000000005
462,2007-11-08,990521.4,1358.8999999999996,1152.5500000000002
463,2007-11-09,990521.4,1356.3500000000004,1117.0500000000002
464,2007-11-12,990521.4,1658.1499999999996,1070.9000000000005
465,2007-11-13,990521.4,2211.1900000000005,1149.1999999999998
466,2007-11-14,990521.4,2052.8500000000004,1391.6999999999998
467,2007-11-15,990521.4,2072.2999999999993,1365.9000000000005
468,2007-11-16,990521.4,1994.3999999999996,1360.6500000000005
469,2007-11-19,990521.4,1876.0,1361.4499999999998
470,2007-11-20,990521.4,1427.9400000000005,1234.6999999999998
471,2007-11-21,990521.4,1596.9400000000005,1014.8500000000004
472,2007-11-22,990521.4,1576.0499999999993,973.1500000000005
473,2007-11-23,990521.4,1720.6000000000004,1062.4000000000005
474,2007-11-26,990521.4,1668.8999999999996,1185.5
475,2007-11-27,990521.4,1569.0,1151.9499999999998
476,2007-11-28,990521.4,1722.5499999999993,1071.3500000000004
477,2007-11-29,990521.4,1973.8999999999996,1088.4000000000005
478,2007-11-30,990521.4,1995.6900000000005,1216.5500000000002
479,2007-12-03,990521.4,1965.25,1318.8000000000002
480,2007-12-04,990521.4,2179.4400000000005,1312.1500000000005
481,2007-12-05,990521.4,2218.2999999999993,1393.8000000000002
482,2007-12-06,990521.4,2394.25,1408.5
483,2007-12-07,990521.4,2462.75,1428.1000000000004
484,2007-12-10,990521.4,2688.8500000000004,1414.4000000000005
485,2007-12-11,990521.4,2654.8500000000004,1551.0500000000002
486,2007-12-12,990521.4,2518.6000000000004,1613.1000000000004
487,2007-12-13,990521.4,2401.2999999999993,1511.9000000000005
488,2007-12-14,990521.4,2024.8500000000004,1501.5
489,2007-12-17,990521.4,1877.3500000000004,1230.8000000000002
490,2007-12-18,990521.4,1838.5,1196.1000000000004
491,2007-12-19,990521.4,1843.6000000000004,1204.9499999999998
492,2007-12-20,990521.4,2161.6900000000005,1220.3000000000002
493,2007-12-24,990521.4,2353.3500000000004,1438.9000000000005
494,2007-12-26,990521.4,2383.1900000000005,1524.5500000000002
495,2007-12-27,990521.4,2426.5,1535.3000000000002
496,2007-12-28,990521.4,2461.6000000000004,1533.5
497,2007-12-31,990521.4,2503.3999999999996,1592.4000000000005
498,2008-01-01,990521.4,2849.0,1598.1500000000005
499,2008-01-02,990521.4,2698.8500000000004,1633.1999999999998
500,2008-01-03,990521.4,2831.3500000000004,1632.3500000000004
501,2008-01-04,990521.4,2989.25,1728.1000000000004
502,2008-01-07,990521.4,2953.75,1732.9000000000005
503,2008-01-08,990521.4,2904.6000000000004,1741.6500000000005
504,2008-01-09,990521.4,2865.0,1725.8000000000002
505,2008-01-10,990521.4,3159.699999999999,1610.75
506,2008-01-11,990521.4,3296.5,1653.9000000000005
507,2008-01-14,990521.4,3063.8500000000004,1660.6000000000004
508,2008-01-15,990521.4,2945.1000000000004,1528.0500000000002
509,2008-01-16,990521.4,2859.6499999999996,1389.5500000000002
510,2008-01-17,990521.4,2338.0499999999993,1367.0
511,2008-01-18,990521.4,1637.1000000000004,1159.1000000000004
512,2008-01-21,990521.4,1280.6000000000004,662.6000000000004
513,2008-01-22,990521.4,1857.3500000000004,353.10000000000036
514,2008-01-23,990521.4,1732.0,657.1900000000005
515,2008-01-24,990521.4,2350.3999999999996,487.25
516,2008-01-25,1005806.65,,
517,2008-01-28,1005806.65,,
518,2008-01-29,1005806.65,,
519,2008-01-30,1005806.65,,
520,2008-01-31,1005806.65,,
521,2008-02-01,1005806.65,,
522,2008-02-04,1005806.65,,
523,2008-02-05,1005806.65,,
524,2008-02-06,1005806.65,,
525,2008-02-07,1005806.65,,
526,2008-02-08,1005806.65,,
527,2008-02-11,1005806.65,,
528,2008-02-12,1005806.65,,
529,2008-02-13,1005806.65,,
530,2008-02-14,1005806.65,,
531,2008-02-15,1005806.65,,
532,2008-02-18,1005806.65,,
533,2008-02-19,1005806.65,,
534,2008-02-20,1005806.65,,
535,2008-02-21,1005806.65,,
536,2008-02-22,1005806.65,,
537,2008-02-25,1005806.65,,
538,2008-02-26,1005806.65,,
539,2008-02-27,1005806.65,,
540,2008-02-28,1005806.65,,
541,2008-02-29,1005806.65,,
542,2008-03-03,1005806.65,,
543,2008-03-04,1005806.65,,
544,2008-03-05,1005806.65,,
545,2008-03-07,1005806.65,,
546,2008-03-10,1005806.65,,
547,2008-03-11,1005806.65,,
548,2008-03-12,1005806.65,,
549,2008-03-13,1005806.65,,
550,2008-03-14,1005806.65,,
551,2008-03-17,1005806.65,,
552,2008-03-18,1005806.65,,
553,2008-03-19,1005806.65,,
554,2008-03-24,1005806.65,,
555,2008-03-25,1005806.65,,
556,2008-03-26,1005806.65,,
557,2008-03-27,1005806.65,,
558,2008-03-28,1005806.65,,
559,2008-03-31,1005806.65,,
560,2008-04-01,1005806.65,,
561,2008-04-02,1005806.65,,
562,2008-04-03,1005806.65,,
563,2008-04-04,1005806.65,,
564,2008-04-07,1005806.65,,
565,2008-04-08,1005806.65,,
566,2008-04-09,1005806.65,,
567,2008-04-10,1005806.65,,
568,2008-04-11,1005806.65,,
